SYPTCODE,SYPTSERL,SYPTSMTP,SYPTPRTM,SYPTCHCO,SYPTGNDT
C1278986,0,"Body Part, Organ, or Organ Component",Entire clitoris,Entire clitoris (body structure),20070305
C1278987,0,"Body Part, Organ, or Organ Component",Entire cervix uteri,Entire cervix uteri (body structure),20070305
C1278991,0,"Body Part, Organ, or Organ Component",Entire fallopian tube,Fallopian tube,20070305
C1278992,0,"Body Part, Organ, or Organ Component",Entire ovary,Entire ovary (body structure),20070305
C1278993,0,Body System,Entire skin,whole body skin,20070305
C1278993,1,Body System,Entire skin,Entire skin (body structure),20070305
C1278993,2,Body System,Entire skin,skin,20070305
C1278997,0,"Body Part, Organ, or Organ Component",Entire scalp,Entire scalp (body structure),20070305
C1279000,0,"Body Part, Organ, or Organ Component",Entire skin of breast,Entire skin of breast (body structure),20070305
C1279035,0,"Body Part, Organ, or Organ Component",Entire chest wall,Entire chest wall (body structure),20070305
C1279036,0,"Body Part, Organ, or Organ Component",Entire pleura,온흉막,20070305
C1279036,1,"Body Part, Organ, or Organ Component",Entire pleura,Entire pleura (body structure),20070305
C1279039,0,Body Space or Junction,Entire peritoneal cavity,온복강,20070305
C1279039,1,Body Space or Junction,Entire peritoneal cavity,Entire peritoneal cavity (body structure),20070305
C1279040,0,"Body Part, Organ, or Organ Component",Entire triceps brachii,Entire triceps brachii (body structure),20070305
C1279046,0,"Body Part, Organ, or Organ Component",Entire cervical lymph node,Entire cervical lymph node (body structure),20070305
C1279047,0,"Body Part, Organ, or Organ Component",Entire scalene lymph node,Entire scalene lymph node (body structure),20070305
C1279051,0,"Body Part, Organ, or Organ Component",Entire fascia,Entire fascia (body structure),20070305
C1279052,0,"Body Part, Organ, or Organ Component",Entire frontal bone,Entire frontal bone (body structure),20070305
C1279056,0,"Body Part, Organ, or Organ Component",Entire facial bone,Entire facial bone (body structure),20070305
C1279057,0,"Body Part, Organ, or Organ Component",Entire nasal bone,Entire nasal bone (body structure),20070305
C1279059,0,"Body Part, Organ, or Organ Component",Entire mandible,Entire mandible (body structure),20070305
C1279060,0,"Body Part, Organ, or Organ Component",Entire maxilla,Entire maxilla (body structure),20070305
C1279061,0,"Body Part, Organ, or Organ Component",Entire vertebra,Entire vertebra (body structure),20070305
C1279062,0,"Body Part, Organ, or Organ Component",Entire cranium,온두개골,20070305
C1279062,1,"Body Part, Organ, or Organ Component",Entire cranium,Entire cranium (body structure),20070305
C1279070,0,"Body Part, Organ, or Organ Component",Entire clavicle,온쇄골,20070305
C1279070,1,"Body Part, Organ, or Organ Component",Entire clavicle,Entire clavicle (body structure),20070305
C1279075,0,"Body Part, Organ, or Organ Component",Entire humerus,온상완골,20070305
C1279075,1,"Body Part, Organ, or Organ Component",Entire humerus,Entire humerus (body structure),20070305
C1279080,0,"Body Part, Organ, or Organ Component",Entire greater tuberosity of humerus,Entire greater tuberosity of humerus (body structure),20070305
C1279099,0,"Body Part, Organ, or Organ Component",Entire ischium,온좌골,20070305
C1279099,1,"Body Part, Organ, or Organ Component",Entire ischium,Entire ischium (body structure),20070305
C1279101,0,"Body Part, Organ, or Organ Component",Entire coccyx,Entire coccyx (body structure),20070305
C1279102,0,"Body Part, Organ, or Organ Component",Entire ilium,온장골,20070305
C1279102,1,"Body Part, Organ, or Organ Component",Entire ilium,Entire ilium (body structure),20070305
C1279104,0,"Body Part, Organ, or Organ Component",Entire iliac crest,Entire iliac crest (body structure),20070305
C1279105,0,"Body Part, Organ, or Organ Component",Entire pubis,온치골,20070305
C1279105,1,"Body Part, Organ, or Organ Component",Entire pubis,Entire pubis (body structure),20070305
C1279112,0,"Body Part, Organ, or Organ Component",Entire femur,Entire femur (body structure),20070305
C1279116,0,"Body Part, Organ, or Organ Component",Entire medial condyle of femur,Entire medial condyle of femur (body structure),20070305
C1279117,0,"Body Part, Organ, or Organ Component",Entire lateral condyle of femur,Entire lateral condyle of femur (body structure),20070305
C1279118,0,"Body Part, Organ, or Organ Component",Entire tibia,Entire tibia (body structure),20070305
C1279120,0,"Body Part, Organ, or Organ Component",Entire medial condyle of tibia,Entire medial condyle of tibia (body structure),20070305
C1279121,0,"Body Part, Organ, or Organ Component",Entire lateral condyle of tibia,Entire lateral condyle of tibia (body structure),20070305
C1279123,0,"Body Part, Organ, or Organ Component",Entire patella,Patella Alta,20070305
C1279123,1,"Body Part, Organ, or Organ Component",Entire patella,Entire patella (body structure),20070305
C1279137,0,Body Space or Junction,Entire acromioclavicular joint,Entire acromioclavicular joint (body structure),20070305
C1279139,0,Body Space or Junction,Entire wrist joint,Entire wrist joint (body structure),20070305
C1279142,0,Body Space or Junction,Entire joint of finger,Entire joint of finger (body structure),20070305
C1279146,0,Body Space or Junction,Entire ankle joint,Entire ankle joint (body structure),20070305
C1279151,0,Body Location or Region,Entire groin (surface region),Entire groin (surface region) (body structure),20070305
C1279153,0,"Body Part, Organ, or Organ Component",Entire cheek,Entire cheek (body structure),20070305
C1279155,0,Body Space or Junction,Entire iliac fossa,Entire iliac fossa (body structure),20070305
C1279162,0,"Body Part, Organ, or Organ Component",Entire glenohumeral ligament,Entire glenohumeral ligament (body structure),20070305
C1279178,0,"Body Part, Organ, or Organ Component",Entire bursa,Entire bursa (body structure),20070305
C1279338,0,"Body Part, Organ, or Organ Component",Entire cardiac valve leaflet,Entire cardiac valve leaflet (body structure),20070305
C1279385,0,"Body Part, Organ, or Organ Component",Abdominal wall muscle (body structure),Abdominal wall muscle,20070305
C1279412,0,Disease or Syndrome,periodic paralysis (finding),Periodic paralysis,20070305
C1279412,1,Disease or Syndrome,periodic paralysis (finding),"Paralysis, Episodic",20070305
C1279412,2,Disease or Syndrome,periodic paralysis (finding),이따금 마비가 와요,20070305
C1279478,0,Body Location or Region,Entire right axillary region,Entire right axillary region (body structure),20070305
C1279479,0,Body Location or Region,Entire left axillary region,Entire left axillary region (body structure),20070305
C1279494,0,"Body Part, Organ, or Organ Component",Entire pulmonic area,Entire pulmonic area (body structure),20070305
C1279495,0,"Body Part, Organ, or Organ Component",Entire mitral area,Entire mitral area (body structure),20070305
C1279499,0,Body Location or Region,Entire substernal region,Entire substernal region (body structure),20070305
C1279499,1,Body Location or Region,Entire substernal region,substernal,20070305
C1279548,0,"Body Part, Organ, or Organ Component",Entire right thigh,Entire right thigh (body structure),20070305
C1279548,1,"Body Part, Organ, or Organ Component",Entire right thigh,Right thigh,20070305
C1279549,0,"Body Part, Organ, or Organ Component",Entire left thigh,Entire left thigh (body structure),20070305
C1279571,0,"Body Part, Organ, or Organ Component",Entire right knee,Entire right knee (body structure),20070305
C1279577,0,Injury or Poisoning,Injury of unspecified blood vessel at lower leg level,Injury of Unspecified Blood Vessels At Lower Leg Level,20070305
C1279577,1,Injury or Poisoning,Injury of unspecified blood vessel at lower leg level,Injury of Blood Vessels At Lower Leg Level,20070305
C1279597,0,Body Location or Region,Entire below knee region,Entire below knee region (body structure),20070305
C1279605,0,"Body Part, Organ, or Organ Component",Entire right lower leg,Entire right lower leg (body structure),20070305
C1279606,0,"Body Part, Organ, or Organ Component",Entire left lower leg,Left leg,20070305
C1279733,0,Finding,Appropriate growth,Appropriate growth (finding),20070305
C1279811,0,Therapeutic or Preventive Procedure,Post-surgical wound care,Op wound care - Operative wound care,20070305
C1279811,1,Therapeutic or Preventive Procedure,Post-surgical wound care,post OP. wound problem,20070305
C1279862,0,Body Location or Region,Entire shoulder girdle,Shoulder girdle,20070305
C1279862,1,Body Location or Region,Entire shoulder girdle,Entire shoulder girdle (body structure),20070305
C1279864,0,"Body Part, Organ, or Organ Component",Entire pelvis,Entire pelvis (body structure),20070305
C1279889,0,Qualitative Concept,Deterioration of status,Worse (qualifier value),20070305
C1279901,0,Qualitative Concept,Firstly,첫째로,20070305
C1279920,0,"Body Part, Organ, or Organ Component",Entire dorsal fascia of foot,Entire dorsal fascia of foot (body structure),20070305
C1279930,0,Temporal Concept,Precocious,조숙,20070305
C1279930,1,Temporal Concept,Precocious,Precocious (qualifier value),20070305
C1279945,0,Disease or Syndrome,Acute Interstitial Pneumonitis,급성간질폐렴,20070305
C1279945,1,Disease or Syndrome,Acute Interstitial Pneumonitis,Acute Interstitial Pneumonia,20070305
C1279986,0,Health Care Activity,Procedure on heart,Procedure on heart (procedure),20070305
C1279998,0,"Body Part, Organ, or Organ Component",Entire right foot,Entire right foot (body structure),20070305
C1279999,0,"Body Part, Organ, or Organ Component",Entire left foot,Entire left foot (body structure),20070305
C1280013,0,"Body Part, Organ, or Organ Component",Entire right ankle,Entire right ankle (body structure),20070305
C1280015,0,"Body Part, Organ, or Organ Component",Entire left ankle,Entire left ankle (body structure),20070305
C1280040,0,Disease or Syndrome,Nerve root compression syndrome,Nerve Compression Syndrome,20070305
C1280042,0,Body Location or Region,Entire right upper quadrant of abdomen,Entire right upper quadrant of abdomen (body structure),20070305
C1280043,0,Body Location or Region,Entire left upper quadrant of abdomen,Entire left upper quadrant of abdomen (body structure),20070305
C1280046,0,Body Location or Region,Entire right lower quadrant of abdomen,Entire right lower quadrant of abdomen (body structure),20070305
C1280047,0,Body Location or Region,Entire left lower quadrant of abdomen,Entire left lower quadrant of abdomen (body structure),20070305
C1280063,0,"Body Part, Organ, or Organ Component",Entire glomerular capillary basement membrane,Entire glomerular capillary basement membrane (body structure),20070305
C1280064,0,Body Location or Region,Entire body region,Entire body region (body structure),20070305
C1280065,0,"Body Part, Organ, or Organ Component",Entire spine,Entire spine (body structure),20070305
C1280068,0,Body Space or Junction,Entire second intercostal space,Entire second intercostal space (body structure),20070305
C1280069,0,Body Space or Junction,Entire third intercostal space,Entire third intercostal space (body structure),20070305
C1280071,0,Body Space or Junction,Entire fifth intercostal space,Entire fifth intercostal space (body structure),20070305
C1280072,0,Body Space or Junction,Entire sixth intercostal space,Entire sixth intercostal space (body structure),20070305
C1280073,0,Body Space or Junction,Entire seventh intercostal space,Entire seventh intercostal space (body structure),20070305
C1280074,0,Body Space or Junction,Entire eighth intercostal space,Entire eighth intercostal space (body structure),20070305
C1280080,0,Body Location or Region,Entire posterior mediastinum,Entire posterior mediastinum (body structure),20070305
C1280083,0,Body Location or Region,Entire umbilical region,Entire umbilical region (body structure),20070305
C1280084,0,Body Location or Region,Entire inguinal region,Entire inguinal region (body structure),20070305
C1280085,0,"Body Part, Organ, or Organ Component",Entire inguinal canal,Entire inguinal canal (body structure),20070305
C1280088,0,Body Location or Region,Entire perineum,온회음,20070305
C1280088,1,Body Location or Region,Entire perineum,Entire perineum (body structure),20070305
C1280090,0,"Body Part, Organ, or Organ Component",Entire limb,온사지,20070305
C1280090,1,"Body Part, Organ, or Organ Component",Entire limb,Entire limb (body structure),20070305
C1280104,0,Body Location or Region,Entire nail of finger,Entire nail of finger (body structure),20070305
C1280105,0,Body Location or Region,Entire nail of toe,Entire nail of toe (body structure),20070305
C1280109,0,"Body Part, Organ, or Organ Component",Entire anterior choroidal artery,Entire anterior choroidal artery (body structure),20070305
C1280132,0,"Body Part, Organ, or Organ Component",Entire right gastroepiploic artery,Entire right gastroepiploic artery (body structure),20070305
C1280172,0,"Body Part, Organ, or Organ Component",Entire iliac artery,Entire iliac artery (body structure),20070305
C1280173,0,"Body Part, Organ, or Organ Component",Entire femoral artery,Entire femoral artery (body structure),20070305
C1280188,0,"Body Part, Organ, or Organ Component",Entire jugular vein,Entire jugular vein (body structure),20070305
C1280199,0,"Body Part, Organ, or Organ Component",Entire sacral spinal nerve root,Entire sacral spinal nerve root (body structure),20070305
C1280200,0,"Body Part, Organ, or Organ Component",Entire peripheral nerve,Entire peripheral nerve (body structure),20070305
C1280208,0,Body Space or Junction,Entire joint of hand,Entire joint of hand (body structure),20070305
C1280209,0,Body Space or Junction,Entire joint of thumb,Entire joint of thumb (body structure),20070305
C1280210,0,"Body Part, Organ, or Organ Component",Entire joint of foot,Entire joint of foot (body structure),20070305
C1280246,0,Body Space or Junction,Entire angle of mandible,Entire angle of mandible (body structure),20070305
C1280360,0,"Body Part, Organ, or Organ Component",Epiglottis,후두개,20070305
C1280388,0,"Body Part, Organ, or Organ Component",Entire upper lip,Entire upper lip (body structure),20070305
C1280389,0,"Body Part, Organ, or Organ Component",Entire lower lip,Entire lower lip (body structure),20070305
C1280402,0,"Body Part, Organ, or Organ Component",Entire cruciate ligament of knee joint,Entire cruciate ligament of knee joint (body structure),20070305
C1280412,0,Qualitative Concept,Thick,thickness,20070305
C1280473,0,Therapeutic or Preventive Procedure,Operative procedure on arteriovenous fistula,for AVF operation,20070305
C1280473,1,Therapeutic or Preventive Procedure,Operative procedure on arteriovenous fistula,for arteriovenous fistula operation,20070305
C1280473,2,Therapeutic or Preventive Procedure,Operative procedure on arteriovenous fistula,for A-V fistula operation,20070305
C1280473,3,Therapeutic or Preventive Procedure,Operative procedure on arteriovenous fistula,left arteriovenous fistula operation,20070305
C1280473,4,Therapeutic or Preventive Procedure,Operative procedure on arteriovenous fistula,Arteriovenous fistula operation,20070305
C1280474,0,Finding,Transfer factor - respiratory measure,diffusing capacity,20070305
C1280500,0,Qualitative Concept,Effect,작용,20070305
C1280507,0,Neoplastic Process,Primary malignant neoplasm of gallbladder,"Cancer, Gb, Primary",20070305
C1280507,1,Neoplastic Process,Primary malignant neoplasm of gallbladder,담낭 원발암,20070305
C1280511,0,Neoplastic Process,Primary malignant neoplasm of uterine cervix,자궁목원발암,20070305
C1280511,1,Neoplastic Process,Primary malignant neoplasm of uterine cervix,Unspecified Cervical Cancer,20070305
C1280559,0,Embryonic Structure,Brachial cleft structure,"Cleft, Brachial",20070305
C1280672,0,Body Space or Junction,Entire nasal cavity,비강,20070305
C1280698,0,"Body Part, Organ, or Organ Component",Entire throat (surface region of neck),온인후,20070305
C1280903,0,Therapeutic or Preventive Procedure,Exploration procedure,조사방법,20070305
C1280903,1,Therapeutic or Preventive Procedure,Exploration procedure,exploration,20070305
C1280903,2,Therapeutic or Preventive Procedure,Exploration procedure,exploration시행,20070305
C1280910,0,Health Care Activity,Assisting - action,assistances,20070305
C1281440,0,Disease or Syndrome,Familial obesity,Inactivity-Associated Obesity,20070305
C1281572,0,"Body Part, Organ, or Organ Component",Entire ureter,URETER,20070305
C1281592,0,"Body Part, Organ, or Organ Component",Entire neck,온경부,20070305
C1281931,0,Finding,Nasolacrimal duct obstruction,nasolacrymal duct obstruction,20070305
C1281931,1,Finding,Nasolacrimal duct obstruction,"Obstruction, Nasolacrimal Duct",20070305
C1281931,2,Finding,Nasolacrimal duct obstruction,Nasolacrimal duct obstructed,20070305
C1281935,0,Disease or Syndrome,Tuberculous uveitis,Uveitis in Tuberculosis,20070305
C1281936,0,Disease or Syndrome,Post-traumatic uveitis,"Uveitis, Traumatic",20070305
C1281992,0,Injury or Poisoning,Dislocation of cervical facet joint,Dislocation of Unilateral Facet of Cervical Spine,20070305
C1282120,0,Body Space or Junction,Os of cervix,Os of Cx - Os of cervix,20070305
C1282187,0,Disease or Syndrome,Phimosis of lens capsule,"Phimosis, Lens",20070305
C1282201,0,Injury or Poisoning,Traumatic corneal abrasion,Corneal Trauma,20070305
C1282204,0,Disease or Syndrome,Paralytic ectropion,"Paralytic Ectropion,  Lower Lid",20070305
C1282204,1,Disease or Syndrome,Paralytic ectropion,"Paralytic Ectropion, Upper Lid",20070305
C1282218,0,Neoplastic Process,Benign tumor of lacrimal sac,Lacrimal Sac Neoplasm,20070305
C1282218,1,Neoplastic Process,Benign tumor of lacrimal sac,"Lacrimal Sac Benign Tumor, Others",20070305
C1282223,0,Injury or Poisoning,Eyelid laceration with lid margin involvement,"Laceration, Lid",20070305
C1282230,0,Disease or Syndrome,Post-traumatic endophthalmitis,외상후 안구내염,20070305
C1282272,0,Therapeutic or Preventive Procedure,Low anterior resection of rectum,직장 아래앞절제,20070305
C1282290,0,Therapeutic or Preventive Procedure,Drainage of pancreatic abscess,췌장농양 배농,20070305
C1282314,0,Injury or Poisoning,Dislocation of joint of hand,손관절 어긋남,20070305
C1282374,0,Disease or Syndrome,Congenital exotropia,Infantile Exotropia,20070305
C1282464,0,Acquired Abnormality,Perineal wound dehiscence,"Dehiscence, Wound, Anus",20070305
C1282464,1,Acquired Abnormality,Perineal wound dehiscence,회음상처벌어짐,20070305
C1282474,0,Neoplastic Process,Local recurrence of malignant tumor of stomach,Recurrent Gastric Cancer,20070305
C1282494,0,Neoplastic Process,Metastasis from malignant tumor of cervix,"Metastasis From, Cervix",20070305
C1282494,1,Neoplastic Process,Metastasis from malignant tumor of cervix,Metastatic Cervical Cancer,20070305
C1282501,0,Neoplastic Process,Metastasis from malignant tumor of pancreas,Metastatic Pancreatic Cancer,20070305
C1282502,0,Neoplastic Process,Metastasis from malignant tumor of liver,"Metastasis From, PLCA",20070305
C1282502,1,Neoplastic Process,Metastasis from malignant tumor of liver,Metastasis Hepatocellular Carcinoma,20070305
C1282505,0,Neoplastic Process,Metastasis from malignant tumor of esophagus,Metastatic Esophageal Cancer,20070305
C1282508,0,Neoplastic Process,Metastasis from malignant tumor of lung,"Metastasis From, Lung",20070305
C1282515,0,Diagnostic Procedure,Contrast radiography via drain,Tubogram,20070305
C1282517,0,Therapeutic or Preventive Procedure,Percutaneous transhepatic insertion of biliary drain,PTBD Insertion,20070305
C1282517,1,Therapeutic or Preventive Procedure,Percutaneous transhepatic insertion of biliary drain,PTBD Change,20070305
C1282517,2,Therapeutic or Preventive Procedure,Percutaneous transhepatic insertion of biliary drain,Percutaneous Biliary Drainage,20070305
C1282517,3,Therapeutic or Preventive Procedure,Percutaneous transhepatic insertion of biliary drain,For PTBD-percutanaeous transhepatic biliary drainage,20070305
C1282517,4,therapeutic or Preventive Procedure,Percutaneous transhepatic insertion of biliary drain,for PTBD insertion,20070305
C1282517,5,Therapeutic or Preventive Procedure,Percutaneous transhepatic insertion of biliary drain,for PTBD drainage,20070305
C1282517,6,therapeutic or Preventive Procedure,Percutaneous transhepatic insertion of biliary drain,for PTBD drain,20070305
C1282521,0,Disease or Syndrome,Pudendal nerve neuropathy,Pudendal Neuropathy,20070305
C1282573,0,Therapeutic or Preventive Procedure,Evacuation procedure,배설절차,20070305
C1282573,1,Therapeutic or Preventive Procedure,Evacuation procedure,evacuation,20070305
C1282584,0,Disease or Syndrome,Abscess of upper limb,Abscess of upper limb,20100118
C1282588,0,Therapeutic or Preventive Procedure,FESS - Functional endoscopic sinus surgery - posterior ethmoidectomy,기능내시경부비동수술-뒤벌집절제술,20070305
C1282588,1,Therapeutic or Preventive Procedure,FESS - Functional endoscopic sinus surgery - posterior ethmoidectomy,뒤사골동절제술,20070305
C1282778,0,"Body part, organ or organ component",Entire epicondyle,Epicondyle,20070305
C1282799,0,Sign or Symptom,Penile swelling,penile painful swelling,20070305
C1282799,1,Sign or Symptom,Penile swelling,"Swelling, Penis",20070305
C1282799,2,Sign or Symptom,Penile swelling,"Swollen, penis",20070305
C1282799,3,Sign or Symptom,Penile swelling,painful penile swelling,20070305
C1282799,4,Sign or Symptom,Penile swelling,penis 주변의 swelling / tenderness,20070305
C1282799,5,Sign or Symptom,Penile swelling,penile shaft swelling,20070305
C1282893,0,Therapeutic or Preventive Procedure,Angioplasty Renal Artery,신장동맥 혈관성형술,20070305
C1282910,0,Spatial Concept,Upper,상-,20070305
C1282910,1,Spatial Concept,Upper,above,20070305
C1282910,2,Spatial Concept,Upper,Superior,20070305
C1282910,3,Spatial Concept,Upper,superiorly,20070305
C1282911,0,Spatial Concept,Upward,upwardly,20070305
C1282913,0,Spatial Concept,Circular,고리-,20070305
C1282913,1,Spatial Concept,Circular,윤상-,20070305
C1282913,2,Spatial Concept,Circular,돌림-,20070305
C1282914,0,Spatial Concept,Surrounding,Circumscribe,20070305
C1282914,1,Spatial concept,Surrounding,circumscribed,20070305
C1282927,0,Temporal Concept,Shortened,brief,20070305
C1282927,1,Temporal Concept,Shortened,Short,20070305
C1282944,0,Therapeutic or Preventive Procedure,Total lobectomy of lung,총폐엽절제술,20070305
C1282945,0,Neoplastic Process,"Acute myelogenous leukemia without differentiation, FAB M0","Acute Myeloid Leukemia, M0",20070305
C1282959,0,Therapeutic or Preventive Procedure,Median sternotomy,정중흉골절개술,20070305
C1282977,0,Disease or Syndrome,Candidal perionyxis,Candidal Paronychia,20070305
C1282982,0,Finding,Patient's condition stable,condition stable,20070305
C1282982,1,Finding,Patient's condition stable,Pt. stable,20070305
C1283023,0,Therapeutic or Preventive Procedure,Arthrolysis,관절해리(술),20070305
C1283035,0,Therapeutic or Preventive Procedure,Partial breech extraction,부분둔위만출,20070305
C1283035,1,Therapeutic or Preventive Procedure,Partial breech extraction,Partial Breech Extraction Delivery,20070305
C1283066,0,Therapeutic or Preventive Procedure,Clipping,클리핑,20070305
C1283066,1,Therapeutic or Preventive Procedure,Clipping,묶음술,20070305
C1283066,2,Therapeutic or Preventive Procedure,Clipping,clipped,20070305
C1283102,0,Therapeutic or Preventive Procedure,Approximation - action,approximation,20070305
C1283154,0,Medical device,Chronic ambulatory peritoneal dialysis catheter,for CAPD catheter,20070305
C1283168,0,Therapeutic or Preventive Procedure,Trephination - action,trephination,20070305
C1283240,0,Manufactured Object,Environmental control system,environmental control,20070305
C1283787,0,Disease or Syndrome,Transfusion reaction due to allergens in blood,Allergic Transfusion Reaction,20070305
C1283828,0,Mental Process,Intent,기도,20070305
C1283889,0,"Body Part, Organ, or Organ Component",Entire filum terminale,Thicken Filum Terminale,20070305
C1284063,0,Body Location or Region,Upper body of stomach,Stomach upper body,20070305
C1284410,0,Body Location or Region,Entire lesser curvature of stomach,Entire lesser curvature of stomach (body structure),20070305
C1284819,0,"Body Part, Organ, or Organ Component",Entire adrenal cortex,온부신피질,20070305
C1284820,0,"Body Part, Organ, or Organ Component",Entire adrenal medulla,Medulla of Adrenal Gland,20070305
C1284959,0,Body Location or Region,Structure of medial surface of upper arm,Structure of medial surface of upper arm (body structure),20070305
C1285009,0,Body Location or Region,"Entire lower leg, from knee to ankle",Leg,20070305
C1285012,0,Body Location or Region,Posterior surface of lower leg (calf),posterior lower leg,20070305
C1285092,0,"Body Part, Organ, or Organ Component",Gland structure,gland,20070305
C1285107,0,"Body Part, Organ, or Organ Component",lobe of left lung,LLL - lobe of left lung,20070305
C1285153,0,Health Care Activity,Procedure on body system,Procedure on body system (procedure),20070305
C1285291,0,Disease or Syndrome,Fetal ascites,태아봇물,20070305
C1285378,0,Disease or Syndrome,Nephrotic syndrome secondary to glomerulonephritis,사구체신염 이차콩팥증후군,20070305
C1285378,1,Disease or Syndrome,Nephrotic syndrome secondary to glomerulonephritis,Nephrotic Syndrome Due To Iga Nephropathy,20070305
C1285379,0,Disease or Syndrome,Nephrotic syndrome secondary to systemic disease,Nephrotic Syndrome Due To Henoch-Scholein Nephritis,20070305
C1285401,0,Disease or Syndrome,Perinatal hematologic problems,Perinatal Hematologic Disorder,20070305
C1285402,0,Pathologic Function,Peripheral vascular complication of procedure,Other Type of Arteriovenous Fistula(For Hemodialysis) Problem,20070305
C1285402,1,Pathologic Function,Peripheral vascular complication of procedure,Problem in Vascular Access for Hemodialysis,20070305
C1285416,0,Therapeutic or Preventive Procedure,Removal of soft tissue,Excision of soft tissue (procedure),20070305
C1285445,0,Disease or Syndrome,Substance-induced sleep disorder,Other (Or Unknown) Substance-Induced Sleep Disorder,20070305
C1285445,1,Disease or Syndrome,Substance-induced sleep disorder,Toxin-Induced Sleep Disorder,20070305
C1285445,2,Disease or Syndrome,Substance-induced sleep disorder,Stimulant-Dependent Sleep Disorder,20070305
C1285451,0,Therapeutic or Preventive Procedure,Surgical repair procedure by body site,Evidence of Reproduce,20070305
C1285470,0,Pathologic Function,Visual system complication of procedure,Other Complication of Refractive Keratoplasty,20070305
C1285470,1,Pathologic Function,Visual system complication of procedure,Complication of Refractive Keratoplasty,20070305
C1285470,2,Pathologic Function,Visual system complication of procedure,Undercorrection of Refractive Keratoplasty,20070305
C1285470,3,Pathologic Function,Visual system complication of procedure,Overcorrection of Refractive Keratoplasty,20070305
C1285511,0,Pathologic Function,Cystic lesion - nondiagnostic,Cystic lesion,20070305
C1285529,0,Functional Concept,Purpose,Purpose (attribute),20070305
C1285530,0,Qualitative Concept,Palliative,통증완화,20070305
C1285530,1,Qualitative Concept,Palliative,pall. - Palliative,20070305
C1285537,0,Disease or Syndrome,Neonatal cardiovascular disorder,Neonatal Cardiovascular Disorders,20070305
C1285559,0,Health Care Activity,Advising - action,조언,20070305
C1285559,1,Health Care Activity,Advising - action,advise,20070305
C1285577,0,Finding,Acute confusion,Acute confusion (finding),20070305
C1285604,0,Clinical Attribute,Intracranial pressure observable,Intracranial Pressure Monitor Installation,20070305
C1285604,1,Clinical Attribute,Intracranial pressure observable,머리속압력관찰,20070305
C1286126,0,Clinical Attribute,Movement of neck,at movement of neck,20070305
C1286126,1,Clinical Attribute,Movement of neck,Neck movement,20070305
C1286299,0,Clinical Attribute,Position of vertex presentation,마루점태위,20070305
C1286370,0,Clinical Attribute,Urine smell - finding,Urine odor,20070305
C1286378,0,Clinical Attribute,Odor of sputum,odorous sputum,20070305
C1286422,0,Finding,Positions of breech presentation - finding,볼기태위-소견,20070305
C1287298,0,Finding,Urine volume finding,UO - Urine output,20070305
C1287485,0,Finding,Bad Oral Habit,나쁜구벽,20070305
C1287642,0,Finding,Form of nose - finding,Retracted Columella,20070305
C1287642,1,Finding,Form of nose - finding,Columellar Deformity,20070305
C1287644,0,Finding,Form of tip of nose - finding,Nasal Tip Deformity,20070305
C1287644,1,Finding,Form of tip of nose - finding,Projecting Tip,20070305
C1287645,0,Finding,Form of nostril - finding,Nostril Deformity,20070305
C1287802,0,Finding,Form of stream of urine - finding,"Deviation, Urine Stream",20070305
C1288154,0,Finding,Facial appearance finding,"Dermatochalasis, Face",20070305
C1288154,1,Finding,Facial appearance finding,Facial appearance finding (finding),20070305
C1288281,0,Diagnostic Procedure,Lasegue test procedure,SLR test,20070305
C1288281,1,Diagnostic Procedure,Lasegue test procedure,SLRT - Straight leg raising test (procedure),20070305
C1288281,2,Diagnostic Procedure,Lasegue test procedure,SLR test - Straight leg raising test (procedure),20070305
C1288283,0,Disease or Syndrome,Atrophoderma maculatum,Anetoderma,20070305
C1288289,0,Mental Process,fearful mood,"mood, scared",20140722
C1288329,0,"Body Part, Organ, or Organ Component",Structure of lower uterine segment,lower uterine segment,20070305
C1289796,0,Biomedical or Dental Material,Reconstructive prosthetic material,"Reconstructive prosthetic material, device (substance)",20070305
C1289798,0,Medical Device,Core biopsy needle,"Core biopsy needle, device (physical object)",20070305
C1289803,0,Medical Device,Long arm splint,긴팔덧대,20070305
C1289803,1,Medical Device,Long arm splint,"Casting, Long Arm",20070305
C1289818,0,Medical Device,Clubfoot cast,"Clubfoot cast, device (physical object)",20070305
C1289822,0,Medical Device,"Hip spica cast, both legs","Hip spica cast, one and one-half spica, device (physical object)",20070305
C1289822,1,Medical Device,"Hip spica cast, both legs","Hip spica cast, one leg, device (physical object)",20070305
C1289822,2,Medical Device,"Hip spica cast, both legs","Hip spica cast, both legs, device (physical object)",20070305
C1289823,0,Medical Device,"Hip spica cast, one leg",hip spica cast left,20070305
C1289829,0,Medical Device,Packing material,"Packing material, device (physical object)",20070305
C1289919,0,Substance,Intravenous fluid,IV fluid,20070305
C1289927,0,Substance,Metal (material),"Metal (type of material, substance) (substance)",20070305
C1290071,0,Disease or Syndrome,Disorder of oral mucous membrane,"Skin Lesion, Oral Cavity",20070305
C1290071,1,Disease or Syndrome,Disorder of oral mucous membrane,Disease of oral mucous membrane (disorder),20070305
C1290071,2,Disease or Syndrome,Disorder of oral mucous membrane,Buccal Mucosa Lesion,20070305
C1290078,0,Neoplastic Process,Neoplasm of skin of eyebrow,"Mass, Eyebrow",20070305
C1290082,0,Neoplastic Process,Neoplasm of skin of lip,Neoplasm of Lip Skin,20070305
